sourceProductId	variant	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4034	kids	ao-bong-da-tre-em-x24-bd-34-vang-026	Áo bóng đá trẻ em X24-BĐ-34 màu Vàng	X24-BD-DBX-KID-026	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-vang-026.webp	ao-bong-da-tre-em-x24-bd-34-vang-026.webp
4034	adult	ao-bong-da-nguoi-lon-x24-bd-34-vang-026	Áo bóng đá người lớn X24-BĐ-34 màu Vàng	X24-BD-DBX-ADULT-026	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-vang-026.webp	ao-bong-da-nguoi-lon-x24-bd-34-vang-026.webp
4035	kids	ao-bong-da-tre-em-x24-bd-34-xanh-bich-027	Áo bóng đá trẻ em X24-BĐ-34 màu Xanh bích	X24-BD-DBX-KID-027	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-bich-027.webp	ao-bong-da-tre-em-x24-bd-34-xanh-bich-027.webp
4035	adult	ao-bong-da-nguoi-lon-x24-bd-34-xanh-bich-027	Áo bóng đá người lớn X24-BĐ-34 màu Xanh bích	X24-BD-DBX-ADULT-027	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-bich-027.webp	ao-bong-da-nguoi-lon-x24-bd-34-xanh-bich-027.webp
4036	kids	ao-bong-da-tre-em-x24-bd-34-xanh-duong-028	Áo bóng đá trẻ em X24-BĐ-34 màu Xanh dương	X24-BD-DBX-KID-028	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-duong-028.webp	ao-bong-da-tre-em-x24-bd-34-xanh-duong-028.webp
4036	adult	ao-bong-da-nguoi-lon-x24-bd-34-xanh-duong-028	Áo bóng đá người lớn X24-BĐ-34 màu Xanh dương	X24-BD-DBX-ADULT-028	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-34-xanh-duong-028.webp	ao-bong-da-nguoi-lon-x24-bd-34-xanh-duong-028.webp
4037	kids	ao-bong-da-tre-em-x24-bd-32-do-029	Áo bóng đá trẻ em X24-BĐ-32 màu Đỏ	X24-BD-DBX-KID-029	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-do-029.webp	ao-bong-da-tre-em-x24-bd-32-do-029.webp
4037	adult	ao-bong-da-nguoi-lon-x24-bd-32-do-029	Áo bóng đá người lớn X24-BĐ-32 màu Đỏ	X24-BD-DBX-ADULT-029	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-do-029.webp	ao-bong-da-nguoi-lon-x24-bd-32-do-029.webp
4038	kids	ao-bong-da-tre-em-x24-bd-32-tim-030	Áo bóng đá trẻ em X24-BĐ-32 màu Tím	X24-BD-DBX-KID-030	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-tim-030.webp	ao-bong-da-tre-em-x24-bd-32-tim-030.webp
4038	adult	ao-bong-da-nguoi-lon-x24-bd-32-tim-030	Áo bóng đá người lớn X24-BĐ-32 màu Tím	X24-BD-DBX-ADULT-030	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-32-tim-030.webp	ao-bong-da-nguoi-lon-x24-bd-32-tim-030.webp
