sourceProductId	targetSlug	targetName	targetSku	sourceImageUrl	targetImageFile
4051	ao-bong-da-tre-em-x24-bd-0f4145-xanh-ve-chai-043	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ve chai	X24-BD-DBX-KID-043	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-0f4145-xanh-ve-chai-043.webp	ao-bong-da-tre-em-x24-bd-0f4145-xanh-ve-chai-043.webp
4052	ao-bong-da-tre-em-x24-bd-4f4aa5-cam-044	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam	X24-BD-DBX-KID-044	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-4f4aa5-cam-044.webp	ao-bong-da-tre-em-x24-bd-4f4aa5-cam-044.webp
4053	ao-bong-da-tre-em-x24-bd-8036c3-den-045	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đen	X24-BD-DBX-KID-045	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-8036c3-den-045.webp	ao-bong-da-tre-em-x24-bd-8036c3-den-045.webp
4054	ao-bong-da-tre-em-x24-bd-92b57b-trang-046	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-046	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-92b57b-trang-046.webp	ao-bong-da-tre-em-x24-bd-92b57b-trang-046.webp
4055	ao-bong-da-tre-em-x24-bd-47a0d4-xanh-duong-047	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh dương	X24-BD-DBX-KID-047	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-47a0d4-xanh-duong-047.webp	ao-bong-da-tre-em-x24-bd-47a0d4-xanh-duong-047.webp
4056	ao-bong-da-tre-em-x24-bd-fb5948-xanh-ve-chai-048	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh ve chai	X24-BD-DBX-KID-048	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-fb5948-xanh-ve-chai-048.webp	ao-bong-da-tre-em-x24-bd-fb5948-xanh-ve-chai-048.webp
4057	ao-bong-da-tre-em-x24-bd-ec823a-cam-049	Áo bóng đá trẻ em mẫu thiết kế riêng màu Cam	X24-BD-DBX-KID-049	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-ec823a-cam-049.webp	ao-bong-da-tre-em-x24-bd-ec823a-cam-049.webp
4058	ao-bong-da-tre-em-x24-bd-73ab22-do-do-050	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đỏ đô	X24-BD-DBX-KID-050	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-73ab22-do-do-050.webp	ao-bong-da-tre-em-x24-bd-73ab22-do-do-050.webp
4059	ao-bong-da-tre-em-x24-bd-3fe2d1-trang-051	Áo bóng đá trẻ em mẫu thiết kế riêng màu Trắng	X24-BD-DBX-KID-051	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-3fe2d1-trang-051.webp	ao-bong-da-tre-em-x24-bd-3fe2d1-trang-051.webp
4060	ao-bong-da-tre-em-x24-bd-c359a0-xanh-bich-052	Áo bóng đá trẻ em mẫu thiết kế riêng màu Xanh bích	X24-BD-DBX-KID-052	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-c359a0-xanh-bich-052.webp	ao-bong-da-tre-em-x24-bd-c359a0-xanh-bich-052.webp
4061	ao-bong-da-tre-em-x24-bd-366921-den-053	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đen	X24-BD-DBX-KID-053	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-366921-den-053.webp	ao-bong-da-tre-em-x24-bd-366921-den-053.webp
4062	ao-bong-da-tre-em-x24-bd-dd6123-den-054	Áo bóng đá trẻ em mẫu thiết kế riêng màu Đen	X24-BD-DBX-KID-054	https://static.x24sport.vn/mayaobongro/ao-bong-ro-tre-em-x24-br-dd6123-den-054.webp	ao-bong-da-tre-em-x24-bd-dd6123-den-054.webp
